Type,Nature,Condensateurs,Code,MaxVoltage,Commentaire,Polarise,Nombre
CAPACITOR,ceramic,100nF,104,50V,,Non,21
CAPACITOR,ceramic,470pF,471,50V,,Non,14
CAPACITOR,ceramic,220pF,221,50V,,Non,14
CAPACITOR,ceramic,22pF,22,50V,,Non,14
CAPACITOR,ceramic,47nF,473,50V,,Non,14
CAPACITOR,ceramic,100pF,101,50V,,Non,21
CAPACITOR,ceramic,4.7nF,472,50V,,Non,14
CAPACITOR,ceramic,22nF,223,50V,,Non,14
CAPACITOR,ceramic,47pF,47,50V,,Non,14
CAPACITOR,ceramic,10pF,10,50V,,Non,21
CAPACITOR,ceramic,10nF,103,50V,,Non,21
CAPACITOR,ceramic,2.2nF,222,50V,,Non,14
CAPACITOR,ceramic,1nF,102,50V,,Non,21
CAPACITOR,ceramic,100nF,104,50V,,Non,21
CAPACITOR,ceramic,220nF,224,50V,,Non,7
CAPACITOR,ceramic,100nF,,50V,Bleu 100nM 2C163,Non,6
CAPACITOR,ceramic,1uF,105,50V,,Non,6
CAPACITOR,electrolytic,100uF,,16V,,Oui,5
CAPACITOR,electrolytic,47uF,,16V,,Oui,5
CAPACITOR,electrolytic,220uF,,16V,,Oui,5
CAPACITOR,electrolytic,1000uF,,16V,,Oui,5
CAPACITOR,electrolytic,470uF,,16V,,Oui,5
CAPACITOR,electrolytic,100uF,,25V,,Oui,5
CAPACITOR,electrolytic,2200uF,,25V,,Oui,5
CAPACITOR,electrolytic,220uF,,25V,,Oui,5
CAPACITOR,electrolytic,47uF,,25V,,Oui,5
CAPACITOR,electrolytic,470uF,,25V,,Oui,5
CAPACITOR,electrolytic,1000uF,,25V,,Oui,5
CAPACITOR,electrolytic,10uF,,25V,,Oui,5
CAPACITOR,electrolytic,330uF,,25V,,Oui,5
CAPACITOR,electrolytic,33uF,,50V,,Oui,5
CAPACITOR,electrolytic,1uF,,50V,,Oui,5
CAPACITOR,electrolytic,47uF,,50V,,Oui,5
CAPACITOR,electrolytic,1000uF,,50V,,Oui,5
CAPACITOR,electrolytic,330uF,,50V,,Oui,5
CAPACITOR,electrolytic,4.7uF,,50V,,Oui,5
CAPACITOR,electrolytic,6.8uF,,50V,,Oui,5
CAPACITOR,electrolytic,100uF,,50V,,Oui,5
CAPACITOR,electrolytic,10uF,,50V,,Oui,5
CAPACITOR,electrolytic,3.3uF,,50V,,Oui,5
CAPACITOR,electrolytic,220uF,,50V,,Oui,5
CAPACITOR,electrolytic,470uF,,50V,,Oui,5
CAPACITOR,film,15nF,153,,,Non,5
CAPACITOR,film,10nF,103,63V,,Non,5
CAPACITOR,film,100nF,104,63V,,Non,10
CAPACITOR,film,1nF,102,63V,,Non,5
CAPACITOR,film,1uF,105,63V,,Non,5
CAPACITOR,film,22nF,,100V,,Non,4
CAPACITOR,film,2.2nF,,63V,,Non,2
CAPACITOR,film,1uF,,63V,,Non,2
CAPACITOR,film,470nF,,63V,,Non,4
CAPACITOR,film,680nF,,63V,,Non,5
CAPACITOR,film,270nF,,63V,,Non,2
CAPACITOR,film,3.3nF,332,45V,,Non,8
CAPACITOR,film,33nF,333,250V,,Non,2
CAPACITOR,film,1.5nF,,100V,,Non,2
CAPACITOR,film,47nF,473,,,Non,3
CAPACITOR,film,8.2nF,822,,,Non,5
CAPACITOR,film,33nF,333,,,Non,3
CAPACITOR,film,12nF,123,,,Non,4
CAPACITOR,film,2.7nF,272,,,Non,2
CAPACITOR,film,68nF,,63V,,Non,2
CAPACITOR,film,4.7nF,472,,,Non,6
CAPACITOR,film,330nF,334,,,Non,2
CAPACITOR,film,330nF,,63V,,Non,1
CAPACITOR,film,22nF,223,,,Non,1
CAPACITOR,film,10nF,,100V,,Non,3
